Frequency (MHz),Intensity,Center Freq,Cavity Position
12045.65,3.0205061193555593e-05,12055.5,26.093261068657196
12045.7,3.091961843892932e-05,,
12045.75,2.7211299311602488e-05,,
12045.8,2.0657176719396375e-05,,
12045.85,2.6655287001631223e-05,,
12045.9,5.366246841731481e-05,,
12045.95,6.79569857311435e-05,,
12046.0,5.1543927838793024e-05,,
12046.05,2.32506117754383e-05,,
12046.1,2.2974656531005166e-05,,
12046.15,2.8874124836875126e-05,,
12046.2,2.6192996301688254e-05,,
12046.25,1.6437679732916877e-05,,
12046.3,1.5312789400923066e-05,,
12046.35,1.937468914547935e-05,,
12046.4,1.8010696294368245e-05,,
12046.45,1.7975351511267945e-05,,
12046.5,1.4237974028219469e-05,,
12046.55,1.9502205759636126e-05,,
12046.6,4.069030546816066e-05,,
12046.65,3.164157169521786e-05,,
12046.7,1.5412017091875896e-05,,
12046.75,2.123830017808359e-05,,
12046.8,5.323944606061559e-06,,
12046.85,1.8289169020135887e-05,,
12046.9,2.7551455787033774e-05,,
12046.95,2.729382504185196e-05,,
12047.0,1.9154322217218578e-05,,
12047.05,1.9387362044653855e-05,,
12047.1,2.56948551395908e-05,,
12047.15,2.7854623112943955e-05,,
12047.2,5.1833500037901103e-05,,
12047.25,7.694850501138717e-05,,
12047.3,7.484129309887066e-05,,
12047.35,4.1627197788329795e-05,,
12047.4,9.331083674624097e-06,,
12047.45,2.4111237507895567e-05,,
12047.5,1.5777348380652256e-05,,
12047.55,7.073031611071201e-06,,
12047.6,8.986418833956122e-06,,
12047.65,1.1763069778680801e-05,,
12047.7,1.652132959861774e-05,,
12047.75,2.8261634724913165e-05,,
12047.8,3.6897865356877446e-05,,
12047.85,2.0694649720098823e-05,,
12047.9,1.44563700814615e-05,,
12047.95,2.595335536170751e-05,,
12048.0,1.1499268111947458e-05,,
12048.05,3.361285416758619e-05,,
12048.1,3.185650348314084e-05,,
12048.15,1.3785536793875508e-05,,
12048.2,4.028580860904185e-06,,
12048.25,2.808192220982164e-06,,
12048.3,4.3930431274930015e-06,,
12048.35,1.3699241208087187e-05,,
12048.4,2.2564154278370552e-05,,
12048.45,2.713501817197539e-05,,
12048.5,3.326162550365552e-05,,
12048.55,2.840546949300915e-05,,
12048.6,2.0939423848176375e-05,,
12048.65,2.7452510039438494e-05,,
12048.7,4.2786119593074545e-05,,
12048.75,4.82381547044497e-05,,
12048.8,2.99416951747844e-05,,
12048.85,1.0338250831409823e-05,,
