Frequency (MHz),Intensity,Center Freq,Cavity Position,,,,,,,,,,
11749.75,8.74E-05,11750,18.49197788,,,,,,,,,,
11749.8,0.000125957,11751,18.49575493,,,,,,,,,,
11749.85,0.000152478,11751.5,18.49710464,,,,,,,,,,
11749.9,9.97E-05,11752,18.51047573,,,,,,,,,,
11749.95,2.27E-05,11752.5,18.52547597,,,,,,,,,,
11750,5.02E-05,11753,18.53727146,,,,,,,,,,
11750.05,0.0001172,11753.5,18.55115077,,,,,,,,,,
11750.1,0.000160767,11754,18.56432567,,,,,,,,,,
11750.15,0.000141555,11754.5,18.57525861,,,,,,,,,,
11750.2,0.000117522,11755,18.5896535,,,,,,,,,,
11750.25,0.000168452,11755.5,18.59950343,,,,,,,,,,
11750.75,3.84E-05,11756,18.61358426,,,,,,,,,,
11750.8,7.02E-05,11756.5,18.62926586,,,,,,,,,,
11750.85,0.000130564,11757,18.63964918,,,,,,,,,,
11750.9,0.000152235,11757.5,18.64966905,,,,,,,,,,
11750.95,0.000107204,11758,18.66612212,,,,,,,,,,
11751,7.93E-05,11758.5,18.67910214,,,,,,,,,,
11751.05,0.000113821,11759,18.69094033,,,,,,,,,,
11751.1,8.44E-05,11759.5,18.70375914,,,,,,,,,,
11751.15,9.13E-05,11760,18.71795423,,,,,,,,,,
11751.2,8.41E-05,11760.5,18.73146244,,,,,,,,,,
11751.25,2.43E-05,11761,18.7445428,,,,,,,,,,
11751.25,0.000106747,11761.5,18.75684156,,,,,,,,,,
11751.3,9.89E-05,11762,18.77058236,,,,,,,,,,
11751.35,2.06E-05,11762.5,18.78544582,,,,,,,,,,
11751.4,4.18E-05,11763,18.79649665,,,,,,,,,,
11751.45,4.72E-05,11763.5,18.81077038,,,,,,,,,,
11751.5,0.000137426,11764,18.8218214,,,,,,,,,,
11751.55,0.000136572,11764.5,18.83401363,,,,,,,,,,
11751.6,7.96E-05,11765,18.85088396,,,,,,,,,,
11751.65,3.14E-05,11765.5,18.86058118,,,,,,,,,,
11751.7,9.06E-05,11766,18.87480542,,,,,,,,,,
11751.75,0.000101586,11766.5,18.88972709,,,,,,,,,,                                                                                 
11751.75,0.000169406,11767,18.90209564,,,,,,,,,,
11751.8,0.000100521,11767.5,18.91594864,,,,,,,,,,
11751.85,3.42E-05,11768,18.9287134,,,,,,,,,,
11751.9,9.49E-05,11768.5,18.94059247,,,,,,,,,,
11751.95,0.000161323,11769,18.95742283,,,,,,,,,,
11752,0.000215598,11769.5,18.96776302,,,,,,,,,,
11752.05,0.000216269,11770,18.98107429,,,,,,,,,,
11752.1,0.00016443,11770.5,18.9951269,,,,,,,,,,
11752.15,0.000171222,11771,19.0077058,,,,,,,,,,
11752.2,0.000192319,11771.5,19.02270398,,,,,,,,,,
11752.25,0.000129075,11772,19.03289978,,,,,,,,,,
11752.25,0.00013887,11772.5,19.04630166,,,,,,,,,,
11752.3,0.000157423,11773,19.06382578,,,,,,,,,,
11752.35,0.000141638,11773.5,19.073601,,,,,,,,,,
11752.4,8.27E-05,11774,19.08656149,,,,,,,,,,
11752.45,7.28E-05,11774.5,19.10024807,,,,,,,,,,
11752.5,0.000141939,11775,19.11515171,,,,,,,,,,
11752.55,0.000189946,11775.5,19.12640696,,,,,,,,,,
11752.6,0.000197756,11776,19.14087312,,,,,,,,,,
11752.65,0.000153639,11776.5,19.15226207,,,,,,,,,,
11752.7,4.46E-05,11777,19.16838444,,,,,,,,,,
11752.75,0.000118753,11777.5,19.18191631,,,,,,,,,,
11752.75,0.000241183,11778,19.19141075,,,,,,,,,,
11752.8,0.000182683,11778.5,19.20496912,,,,,,,,,,
11752.85,0.00012296,11779,19.21827451,,,,,,,,,,
11752.9,0.000117952,11779.5,19.2307887,,,,,,,,,,
11752.95,0.000131232,11780,19.24432822,,,,,,,,,,
11753,8.30E-05,11780.5,19.2549189,,,,,,,,,,
11753.05,5.31E-05,11781,19.26814763,,,,,,,,,,
11753.1,0.000100507,11781.5,19.2833269,,,,,,,,,,
11753.15,3.24E-05,11782,19.29518415,,,,,,,,,,
11753.2,6.43E-05,11782.5,19.30669553,,,,,,,,,,
11753.25,0.000111438,11783,19.32013038,,,,,,,,,,
11753.25,8.17E-05,11783.5,19.33429525,,,,,,,,,,
11753.3,8.36E-05,11784,19.34521044,,,,,,,,,,
11753.35,0.000178302,11784.5,19.35855102,,,,,,,,,,
11753.4,0.000226877,11785,19.37121861,,,,,,,,,,
11753.45,0.000162876,11785.5,19.38446998,,,,,,,,,,
11753.5,7.03E-05,11786,19.39772176,,,,,,,,,,
11753.55,0.000144331,11786.5,19.40822098,,,,,,,,,,
11753.6,0.000167729,11787,19.42066578,,,,,,,,,,
11753.65,0.00011634,11787.5,19.43414634,,,,,,,,,,
11753.7,5.23E-05,11788,19.44707059,,,,,,,,,,
11753.75,2.39E-05,11788.5,19.46170821,,,,,,,,,,
11753.75,0.000111228,11789,19.4729199,,,,,,,,,,
11753.8,0.000108699,11789.5,19.4855465,,,,,,,,,,
11753.85,9.63E-05,11790,19.5006953,,,,,,,,,,
11753.9,0.000106226,11790.5,19.51302116,,,,,,,,,,
11753.95,0.000125892,11791,19.52448972,,,,,,,,,,
11754,0.000163474,11791.5,19.53671134,,,,,,,,,,
11754.05,0.000218183,11792,19.55157538,,,,,,,,,,
11754.1,0.00023243,11792.5,19.56196543,,,,,,,,,,
11754.15,0.000157651,11793,19.57565275,,,,,,,,,,
11754.2,6.32E-05,11793.5,19.58850936,,,,,,,,,,
11754.25,0.000101196,11794,19.60325683,,,,,,,,,,
11754.25,3.63E-05,11794.5,19.61355276,,,,,,,,,,
11754.3,7.04E-05,11795,19.62593894,,,,,,,,,,
11754.35,0.000107423,11795.5,19.63841198,,,,,,,,,,
11754.4,9.88E-05,11796,19.65237042,,,,,,,,,,
11754.45,0.000105541,11796.5,19.66578709,,,,,,,,,,
11754.5,8.55E-05,11797,19.67799878,,,,,,,,,,
11754.55,6.80E-05,11797.5,19.69154956,,,,,,,,,,
11754.6,6.59E-05,11798,19.70346822,,,,,,,,,,
11754.65,2.20E-05,11798.5,19.71706407,,,,,,,,,,
11754.7,0.000133971,11799,19.72886691,,,,,,,,,,
11754.75,0.000188853,11799.5,19.74029491,,,,,,,,,,
11754.75,8.33E-05,11800,19.75303711,,,,,,,,,,
11754.8,6.82E-05,11800.5,19.76821976,,,,,,,,,,
11754.85,8.26E-05,11801,19.77865922,,,,,,,,,,
11754.9,7.75E-05,11801.5,19.7925348,,,,,,,,,,
11754.95,0.000101278,11802,19.80329328,,,,,,,,,,
11755,0.000133543,11802.5,19.81700427,,,,,,,,,,
11755.05,0.000117422,11803,19.82970288,,,,,,,,,,
11755.1,5.07E-05,11803.5,19.84192031,,,,,,,,,,
11755.15,5.20E-05,11804,19.85435457,,,,,,,,,,
11755.2,2.30E-05,11804.5,19.86759185,,,,,,,,,,
11755.25,4.40E-05,11805,19.88136818,,,,,,,,,,
11755.25,0.000226291,11805.5,19.89410715,,,,,,,,,,
11755.3,0.000191055,11806,19.90559349,,,,,,,,,,
11755.35,0.000126581,11806.5,19.91856972,,,,,,,,,,
11755.4,8.16E-05,11807,19.93251918,,,,,,,,,,
11755.45,0.000111415,11807.5,19.94520596,,,,,,,,,,
11755.5,0.00016067,11808,19.95578858,,,,,,,,,,
11755.55,0.000152301,11808.5,19.96948137,,,,,,,,,,
11755.6,9.25E-05,11809,19.98091711,,,,,,,,,,
11755.65,0.000108969,11809.5,19.99477575,,,,,,,,,,
11755.7,0.000120364,11810,20.00778197,,,,,,,,,,
11755.75,5.77E-05,11810.5,20.01954847,,,,,,,,,,
11755.75,8.04E-05,11811,20.03131278,,,,,,,,,,
11755.8,5.89E-05,11811.5,20.04700606,,,,,,,,,,
11755.85,3.91E-05,11812,20.05904914,,,,,,,,,,
11755.9,2.06E-05,11812.5,20.07105601,,,,,,,,,,
11755.95,1.73E-05,11813,20.08446737,,,,,,,,,,
11756,1.10E-05,11813.5,20.09877725,,,,,,,,,,
11756.05,4.21E-05,11814,20.10962023,,,,,,,,,,
11756.1,4.08E-05,11814.5,20.12278601,,,,,,,,,,
11756.15,6.14E-05,11815,20.13298794,,,,,,,,,,
11756.2,0.00010757,11815.5,20.14937185,,,,,,,,,,
11756.25,8.90E-05,11816,20.16031863,,,,,,,,,,
11756.25,0.000139033,11816.5,20.17155443,,,,,,,,,,
11756.3,0.000140578,11817,20.18410412,,,,,,,,,,
11756.35,0.000102363,11817.5,20.19763421,,,,,,,,,,
11756.4,8.50E-05,11818,20.21048656,,,,,,,,,,
11756.45,6.47E-05,11818.5,20.22239783,,,,,,,,,,
11756.5,8.88E-05,11819,20.23491033,,,,,,,,,,
11756.55,0.000127298,11819.5,20.24523141,,,,,,,,,,
11756.6,0.000131385,11820,20.2601957,,,,,,,,,,
11756.65,0.00012491,11820.5,20.27317693,,,,,,,,,,
11756.7,6.39E-05,11821,20.28392941,,,,,,,,,,
11756.75,3.58E-05,11821.5,20.29543158,,,,,,,,,,
11756.75,9.52E-05,11822,20.30860134,,,,,,,,,,
11756.8,0.000123493,11822.5,20.32062487,,,,,,,,,,
11756.85,0.00011714,11823,20.33623757,,,,,,,,,,
11756.9,8.02E-05,11823.5,20.34552623,,,,,,,,,,
11756.95,7.61E-05,11824,20.35725147,,,,,,,,,,
11757,6.26E-05,11824.5,20.37202458,,,,,,,,,,
11757.05,1.07E-05,11825,20.38329713,,,,,,,,,,
11757.1,1.51E-05,11825.5,20.39390679,,,,,,,,,,
11757.15,3.77E-05,11826,20.4083256,,,,,,,,,,
11757.2,7.29E-05,11826.5,20.42138571,,,,,,,,,,
11757.25,5.62E-05,11827,20.43359759,,,,,,,,,,
11757.25,0.000133965,11827.5,20.44711987,,,,,,,,,,
11757.3,0.000120275,11828,20.45793705,,,,,,,,,,
11757.35,8.47E-05,11828.5,20.47019006,,,,,,,,,,
11757.4,6.38E-05,11829,20.48302005,,,,,,,,,,
11757.45,5.99E-05,11829.5,20.49573035,,,,,,,,,,
11757.5,2.78E-05,11830,20.50696219,,,,,,,,,,
11757.55,0.000104786,11830.5,20.51937699,,,,,,,,,,
11757.6,0.00013053,11831,20.53257454,,,,,,,,,,
11757.65,9.75E-05,11831.5,20.54557757,,,,,,,,,,
11757.7,5.23E-05,11832,20.55802842,,,,,,,,,,
11757.75,0.000104436,11832.5,20.56838261,,,,,,,,,,
11757.75,3.17E-05,11833,20.58065353,,,,,,,,,,
11757.8,2.84E-05,11833.5,20.59415324,,,,,,,,,,
11757.85,1.33E-05,11834,20.60635111,,,,,,,,,,
11757.9,4.77E-05,11834.5,20.61946276,,,,,,,,,,
11757.95,8.29E-05,11835,20.63150828,,,,,,,,,,
11758,6.20E-05,11835.5,20.64507281,,,,,,,,,,
11758.05,2.14E-05,11836,20.65705919,,,,,,,,,,
11758.1,4.51E-05,11836.5,20.66834612,,,,,,,,,,
11758.15,5.41E-05,11837,20.68087673,,,,,,,,,,
11758.2,8.97E-05,11837.5,20.69427277,,,,,,,,,,
11758.25,0.00011185,11838,20.70655927,,,,,,,,,,
11758.25,0.000108718,11838.5,20.71844008,,,,,,,,,,
11758.3,9.63E-05,11839,20.73078172,,,,,,,,,,
11758.35,0.000100303,11839.5,20.74304723,,,,,,,,,,
11758.4,0.000117616,11840,20.75630291,,,,,,,,,,
11758.45,6.72E-05,11840.5,20.7685897,,,,,,,,,,
11758.5,1.03E-05,11841,20.78026764,,,,,,,,,,
11758.55,4.07E-05,11841.5,20.79359186,,,,,,,,,,
11758.6,3.30E-05,11842,20.80666595,,,,,,,,,,
11758.65,5.70E-05,11842.5,20.81929043,,,,,,,,,,
11758.7,0.000112806,11843,20.83090763,,,,,,,,,,
11758.75,0.000148393,11843.5,20.84311996,,,,,,,,,,
11758.75,0.000110749,11844,20.85643788,,,,,,,,,,
11758.8,8.60E-05,11844.5,20.86834808,,,,,,,,,,
11758.85,7.86E-05,11845,20.88198025,,,,,,,,,,
11758.9,8.69E-05,11845.5,20.89152538,,,,,,,,,,
11758.95,7.97E-05,11846,20.90539243,,,,,,,,,,
11759,4.65E-05,11846.5,20.91920226,,,,,,,,,,
11759.05,2.69E-05,11847,20.93267993,,,,,,,,,,
11759.1,7.01E-05,11847.5,20.94289233,,,,,,,,,,
11759.15,7.52E-05,11848,20.9558817,,,,,,,,,,
11759.2,2.16E-05,11848.5,20.96994496,,,,,,,,,,
11759.25,9.69E-05,11849,20.98199627,,,,,,,,,,
11759.25,4.11E-05,11849.5,20.99497198,,,,,,,,,,
11759.3,3.77E-05,11850,21.00568322,,,,,,,,,,
11759.35,7.65E-05,11850.5,21.02048646,,,,,,,,,,
11759.4,8.33E-05,11851,21.03079395,,,,,,,,,,
11759.45,6.47E-05,11851.5,21.04303583,,,,,,,,,,
11759.5,2.67E-05,11852,21.05572415,,,,,,,,,,
11759.55,3.33E-05,11852.5,21.06912624,,,,,,,,,,
11759.6,5.25E-05,11853,21.08281562,,,,,,,,,,
11759.65,6.34E-05,11853.5,21.09312754,,,,,,,,,,
11759.7,8.39E-05,11854,21.10676041,,,,,,,,,,
11759.75,6.12E-05,11854.5,21.11885513,,,,,,,,,,
11759.75,9.13E-05,11855,21.13361732,,,,,,,,,,
11759.8,7.68E-05,11855.5,21.14679141,,,,,,,,,,
11759.85,5.08E-05,11856,21.15794392,,,,,,,,,,
11759.9,5.10E-05,11856.5,21.16883299,,,,,,,,,,
11759.95,0.000103836,11857,21.1821103,,,,,,,,,,
11760,8.64E-05,11857.5,21.19552348,,,,,,,,,,
11760.05,7.78E-05,11858,21.20643873,,,,,,,,,,
11760.1,0.00013362,11858.5,21.21835278,,,,,,,,,,
11760.15,0.000116947,11859,21.23078228,,,,,,,,,,
11760.2,5.95E-05,11859.5,21.24379381,,,,,,,,,,
11760.25,1.64E-05,11860,21.25801085,,,,,,,,,,
11760.25,0.000106162,11860.5,21.26819101,,,,,,,,,,
11760.3,1.51E-05,11861,21.28114724,,,,,,,,,,
11760.35,9.22E-05,11861.5,21.29358009,,,,,,,,,,
11760.4,0.000111042,11862,21.30631633,,,,,,,,,,
11760.45,8.92E-05,11862.5,21.32075379,,,,,,,,,,
11760.5,4.08E-05,11863,21.33184709,,,,,,,,,,
11760.55,5.27E-05,11863.5,21.34411742,,,,,,,,,,
11760.6,9.61E-05,11864,21.35720039,,,,,,,,,,
11760.65,6.98E-05,11864.5,21.37142863,,,,,,,,,,
11760.7,5.67E-05,11865,21.38133954,,,,,,,,,,
11760.75,9.76E-05,11865.5,21.3937214,,,,,,,,,,
11760.75,2.29E-05,11866,21.40770729,,,,,,,,,,
11760.8,4.96E-05,11866.5,21.41938621,,,,,,,,,,
11760.85,6.14E-05,11867,21.43253817,,,,,,,,,,
11760.9,4.47E-05,11867.5,21.44312242,,,,,,,,,,
11760.95,1.49E-05,11868,21.45863494,,,,,,,,,,
11761,2.13E-05,11868.5,21.4723238,,,,,,,,,,
11761.05,2.59E-05,11869,21.48268245,,,,,,,,,,
